url,tipo,nome_popular,nome_cientifico,ordem,familia,origem,alimentacao,sociabilidade,ph,ph_min,ph_max,temperatura_ideal,temp_min_c,temp_max_c,expectativa_vida,manutencao,tamanho_adulto,iluminacao,co2,crescimento,posicionamento,companheiros_sugeridos,imagem_principal_url,imagens_galeria,raw_description_snippet
https://www.kauar.com.br/agua-doce/asiaticos/peixe-arco-iris-melanotaenia-papue,peixe_ou_camarao,Melanotaenia Trifasciata Gold,Melanotaenia papue,,,,,,"6,6 a 7,4",6.6,7.4,22 a 30,22.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/melanotaenia_trifasciata_gold_melanotaenia_papue_873_2_ea34f82279e3954b246bac57eec0405e.jpg,,"Melanotaenia Trifasciata Gold
Peixe ornamental
Peixe de aquário
Origem:
encontrado nas regiões da Ásia.
Características:
O Arco Íris Melanotaenia papue é um peixe ornamental que se destaca pela sua coloração bastante chamativa daí vem o motivo de seu nome. Apesar de seu tamanho reduzido, esse peixinho possui um corpo robusto que se destaca.
Comportamento e Coabitação com outras espécies:
é um peixe muito sociável e de hábitos tranquilos. Espécie bastante sociável, por isso aconselha-se a mantê-lo em grupos de pelo menos 6 espécimes ou mais, usando como base duas fêmeas para cada macho, assim o"
https://www.kauar.com.br/agua-doce/asiaticos/peixe-lapis-nannostomus-trifasciatus,peixe_ou_camarao,Peixe Lápis,Nannostomus trifasciatus,,,,,,5.,5.0,5.0,24°C a 28°C,24.0,28.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/peixe_lapis_nannostomus_trifasciatus_9_1_e65a5e12910768303e3ffee22df91db3.jpg,,"Peixe Lápis Dourado, um peixe de água doce para seu aquário
Encontrado na América do Sul, bacia Amazônica na Venezuela, também é conhecido como Zepelim, Peixe Lápis e Torpedinho. São diferentes nomes para uma variedade de espécie. O Peixe Lápis é um clássico do aquarismo amazônico e comunitário. Você vai amar observar um cardume dessas belezas em seu aquário.
Comportamento e convivência com outras espécies
O Peixe Lápis é  uma espécie extremamente pacífica, ideal para aquários comunitários. Eles a
preciam aquário densamente plantado e você pode optar também por um aquário do tipo biótopo, com "
https://www.kauar.com.br/agua-doce/asiaticos/peixe-paraiso-albino-macropodus-opercularis,peixe_ou_camarao,Peixe Paraíso Albino,Macropodus opercularis,,,,,,"6,6 a 7,8",6.6,7.8,22 a 30,22.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/peixe_paraiso_albino_3_a_5_cm_macropodus_opercularis_867_1_d97c11fc399360e95aee95c103fc53e4.jpg,,"Peixe Paraíso Albino | Macropodus Opercularis
Peixe ornamental
Peixe de aquário
Origem:
encontrado nas regiões da Ásia.
Características:
o Peixe do Paraíso quando bem adaptado, adquire cores fantásticas, com faixas azuis e vermelhas. Sua coloração deslumbrante de listras azuis brilhantes em um fundo que varia entre o vermelho e azul remete ao seu nome popular ""peixe paraíso"".
Comportamento e Coabitação com outras espécies:
Seu comportamento é bastante variável, espécie territorial, mas não é realmente um peixe tão terrível como falam. Em cardume (5-6 indivíduos) sua agressividade diminui consi"
https://www.kauar.com.br/agua-doce/asiaticos/peixe-paraiso-macropodus-opercularis,peixe_ou_camarao,Peixe Paraíso,Macropodus opercularis,,,,,,"6,6 a 7,8",6.6,7.8,22 a 30,22.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/peixe_paraiso_3_a_5_cm_macropodus_opercularis_869_1_aa5ae4f4205e93549d812341bce3abed.jpg,,"Peixe Paraíso | Macropodus opercularis
Peixe ornamental
Peixe de aquário
Origem:
encontrado nas regiões da Ásia.
Características:
o Peixe do Paraíso quando bem adaptado, adquire cores fantásticas, com faixas azuis e vermelhas. Sua coloração deslumbrante de listras azuis brilhantes em um fundo que varia entre o vermelho e azul remete ao seu nome popular ""peixe paraíso"".
Comportamento e Coabitação com outras espécies:
Seu comportamento é bastante variável, espécie territorial, mas não é realmente um peixe tão terrível como falam. Em cardume (5-6 indivíduos) sua agressividade diminui consideravel"
https://www.kauar.com.br/agua-doce/asiaticos/peixe-vidro-indiano-parambassis-ranga,peixe_ou_camarao,Tetra Vidro,Parambassis ranga,,,,,,"6,6 a 8,0",6.6,8.0,22 a 30,22.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/peixe_vidro_indiano_parambassis_ranga_865_1_0fe20b4c0af0f0802174c5f4798af420.jpg,,"Tetra Vidro | Parambassis Ranga
Peixe ornamental
Peixe de aquário
Imagens ilustrativas: Frank Greco.
Origem:
encontrado na região sudeste da Ásia.
Características:
o
Tetra Vidro também conhecido como Peixe Vidro Indiano de raio-x possui esse nome devido ao seu corpo transparente que releva seus ossos e órgãos internos. Pacífico e relativamente tímido esse peixinho é uma ótima opção para se ter em aquários comunitários. É conhecido também como Changa Ranga, Glass Perchlet, Glassy Fish, Indian Glass Perch, Indian Glassy Fish, Siamese Glassfish.
Comportamento e Coabitação com outras espécies:
ess"
https://www.kauar.com.br/agua-doce/asiaticos/pseudomugil-lumnatus-pseudomugil-luminatus,peixe_ou_camarao,Pseudomugil  Luminatus,Pseudomugil luminatus,,,,,,6.0 a 7.4,6.0,7.4,22ºC a 28ºC,22.0,28.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/pseudomugil_luminatus_2_a_3_cm_pseudomugil_lumi_1_20260703103536_89c13312aa5a.jpg,,"PSEUDOMUGIL LUMINATUS, UM PEIXINHO SUPER ANIMADO E COLORIDO, QUE LEVARÁ MAIS CORES, BRILHO E MOVIMENTOS AO SEU AQUÁRIO.
O Pseudomugil
Luminatus é um peixinho super dócil, animado e colorido. Percorre todo aquário sempre com muita energia. Possui cores bem chamativas, que o faz destacar bastante dentro do aquário. Possui um corpo bem colorido, com cores que vão do vermelho ao alaranjado e um brilho metálico. As barbatanas dos machos se destacam bastante, sobretudo em época de acasalamento, que os machos cortejam as fêmeas. As fêmeas possuem um corpo um pouco menos colorido, e um abdômen mais go"
https://www.kauar.com.br/agua-doce/aulonocara-fire-fish-peixes-de-aquario-ciclideos-africanos,peixe_ou_camarao,Aulonocara Fire Fish,,,,,,,"7,0 a 8,6",7.0,8.6,23ºC e 28ºC,23.0,28.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/aulonocara_fire_fish_macho_colorido_5_a_7_cm_ciclideos_africanos_lago_malawi_355_1_3cb97e1c8601fa4cce9f409b006e9c2f.jpg,,"AULONOCARA FIRE FISH, UM PEIXE DE AQUÁRIO OU LAGO EM QUE O NOME JÁ DIZ TUDO
Com cores que lembram um vulcão em erupção, a Aulonocara Fire Fish
está entre as variedades de Aulonocaras mais amadas e clássicas. Como outros peixes da família, ele alcança um tamanho médio entre 9 cm e 12 cm. Natural do Lago Malawi, é um peixe ornamental mundialmente conhecido e amado.
SAIBA MAIS SOBRE AS AULONOCARAS
As Aulonocaras são tão coloridas que, muitas vezes, são confundidas com peixes marinhos. Na natureza, são encontradas no Lago Malawi, na África. Só ele abriga mais de 400 espécies de ciclídeos como as A"
https://www.kauar.com.br/agua-doce/barbos-e-danios/barbo-five-banded-barbus-pentazona-desmopuntius-pentazona,peixe_ou_camarao,Barbo Five Banded,Barbus Pentazona,,,,,,5.0 a 6.8,5.0,6.8,23ºC a 30ºC,23.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/barbo_five_banded_barbus_pentazona_2_a_3_cm_desmopuntius_pentazona_2548_1_65362a0db3b68fd7a35b2948bc560a1c.jpg,,"BARBO FIVE BANDED: MAIS CORES E VIBRAÇÃO PARA SEU AQUÁRIO
O Barbo Five, também conhecido como Barbo Cinco Listras, e Barbus Pentazona, é um peixe de cardume da  família dos ciprinídeos, natural da Península Malaia, até Sumatra, Indonésia. Este peixe deslumbrante é muito famoso por sua coloração vibrante e seu padrão de cores, com as cinco listras escuras, que se destacam em seu corpo mais claro, que pode variar de levemente alaranjado-avermelhado, até o amarelo, criando um contraste visual bem chamativo. Um peixe bem ativo e pacífico, vivem em cardume, ideal manter acima de 6 em seu aquário.
Q"
https://www.kauar.com.br/agua-doce/barbos-e-danios/barbus-cereja,peixe_ou_camarao,Barbo Conchônio Cereja,,,,,,,"6,0 a 8,0",6.0,8.0,23ºC e 27ºC,23.0,27.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/barbo_conchonio_cereja_pethia_conchonius_maravilhoso_823_1_096c57f59cfbb51567aec12f606c632f.jpg,,"BARBO CONCHONIO CEREJA
O Barbo Conchonio Cereja é um peixe ornamental de aquário de água-doce, pacífico, ideal para aquários plantados e aquários comunitários. É
um peixinho muito tranquilo, ele se destaca pelo seu colorido intenso e seu comportamento ativo. De tamanho reduzido, o Barbus chega a alcançar 5 cm, por isso é muito procurado por aquaristas de aquários plantados.
Quer saber mais sobre o Barbu
Conchonio Cereja
e os cuidados veterinários da Kauar? E como funciona a entrega até a sua casa? Aprender tudo sobre aclimatação de um novo peixe ornamental em seu aquário? Continue com a Kauar!"
https://www.kauar.com.br/agua-doce/barbos-e-danios/barbus-denisoni-gold,peixe_ou_camarao,Barbus Denisoni Gold,,,,,,,"6,6 e 7,6",6.6,7.6,15°C e 28°C,15.0,28.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/barbus_denisoni_gold_109_1_20201211001321.jpg,,"Barbus Denisoni Gold
Peixes de Água Doce
Peixes Ornamentais
Origem:
Ásia, endêmico do sul da Índia
Características:
da família dos ciprinídeos, o Barbus Denisoni Gold é oriundo do continente Asiático. Seu tamanho pode chegar a  15 cm, sendo comum encontrar peixes desta espécie com tamanhos a partir de 10 cm. Por ser uma espécie que se organiza em cardume, com comportamento gregário, deve ser mantido com pelo menos 6 indivíduos. São peixes com poucas diferenças entre machos e fêmeas, sendo que as fêmeas são ligeiramente maiores e possuem a barriga um pouco mais arredondada. Tem o costume de hab"
https://www.kauar.com.br/agua-doce/barbos-e-danios/barbus-denisoni-sahyadria-denisonii,peixe_ou_camarao,Barbo Denisoni,,,,,,,"6,6 e 7,6",6.6,7.6,15°C e 28°C,15.0,28.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/barbo_denisoni_2_5_a_4_cm_sahyadria_denisonii_349_1_d2a9dc0f7e36d34c7fb06256e218c01c.jpg,,"BARBO DENISONI, UM DOS PEIXES MAIS LINDOS DO AQUARISMO!
Da família dos ciprinídeos, o Barbus Denisoni, também conhecido como Barbo Denisoni, é oriundo do continente Asiático. Seu tamanho pode chegar a  15 cm, sendo comum encontrar peixes desta espécie com tamanhos a partir de 10 cm. Por ser uma espécie que se organiza em cardume, com comportamento gregário, deve ser mantido com pelo menos 6 indivíduos. São peixes com poucas diferenças entre machos e fêmeas, sendo que as fêmeas são ligeiramente maiores e possuem a barriga um pouco mais arredondada. Tem o costume de habitar o meio e o fundo do a"
https://www.kauar.com.br/agua-doce/barbos-e-danios/barbus-ouro-barbodes-semifasciolatus,peixe_ou_camarao,Barbus Ouro,Barbodes semifasciolatus,,,,,,6.0 a 8.0,6.0,8.0,23ºC e 27ºC,23.0,27.0,,,,,,,,Barbo como o Tetra Amandae e com outros de sua espécie,https://images.tcdn.com.br/img/img_prod/749804/barbus_ouro_barbodes_semifasciolatus_voce_vai_se_apaixonar_825_1_0c794e9be2ad0dc2366d43315dbfe77c.jpg,,"BARBO OURO: UM CARDUME DESSE PEIXE COLORIDO E ATIVO VAI TER SUPREENDER
O Barbo Ouro, também conhecido como
Barbo Ouro, Gold Barb, Golfinned Barb, Golden Barb,
é um peixinho muito tranquilo, ele se destaca pelo seu colorido intenso e seu comportamento ativo. Pacífico e de tamanho reduzido, o Barbo chega a alcançar 5 cm, por isso é muito procurado por aquaristas de aquários plantados.
COMPORTAMENTO DO BARBO OURO
O Barbo é um peixe muito pacífico, por isso é uma ótima opção para quem tem aquário comunitário, porém podem demonstrar algum comportamento competitivo na briga pela hierarquia e em époc"
https://www.kauar.com.br/agua-doce/barbos-e-danios/barbus-sumatra-puntius-tetrazona,peixe_ou_camarao,Barbus Sumatra,,,,,,,6.0 a 8.0,6.0,8.0,23ºC e 27ºC,23.0,27.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/barbus_sumatra_puntius_tetrazona_lindos_827_4_9a6c7528efc18e93e55bf21b1313b10f.jpg,,"BARBO SUMUTRA: UM PEIXE MAGNÍFICO DO SUDESTE ASIÁTICO
O Barbo Sumatra é um peixe deslumbrante. Ele chega a alcançar 5 cm, vive em cardume, sendo muito procurado por aquaristas de plantados. Uma das características mais famosas desse peixe é a sua queda por ""beliscar"" a barbatana de outros peixes, especialmente, se forem bem longas, como a dos Bettas. No exterior é conhecido como Barbo Tigre, em função de suas cores e marcações.
COMPORTAMENTO
O Barbo é um peixe moderadamente pacífico, sendo indicado para aquário monoespécie ou comunitário. Entretanto, podem demonstrar algum comportamento compet"
